homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Atalanta,Juventus,2.07,3.05,3.8,2.2,1.6,1.88,1.8,1,10
Inter Milan,Bologna,1.48,4.0,6.4,1.8,1.87,1.9,1.78,9,2
Roma,Genoa,1.45,4.25,7.5,1.84,1.83,2.02,1.68,16,7
Bologna,Cremonese,1.55,3.85,6.5,1.93,1.75,2.05,1.66,2,5
Juventus,Ac Milan,2.35,3.0,3.3,2.13,1.62,1.8,1.9,10,0
Atalanta,Napoli,2.3,3.0,3.3,2.06,1.65,1.82,1.85,1,13
Fiorentina,Torino,1.69,3.5,4.95,1.99,1.7,1.91,1.76,6,18
Parma,Pisa,2.15,3.45,3.25,1.73,1.95,1.59,2.17,14,15
Cagliari,Lecce,1.88,3.35,4.25,1.91,1.77,1.77,1.91,3,12
Hellas Verona,Lazio,4.65,3.6,1.7,1.83,1.83,1.78,1.9,8,11
Inter Milan,Sassuolo,1.3,5.25,9.25,1.58,2.19,2.01,1.69,9,17
Como,Udinese,2.05,3.2,3.6,1.94,1.74,1.75,1.93,4,19
Torino,Cagliari,2.2,3.1,3.6,2.18,1.58,1.86,1.81,18,3
Como,Atalanta,3.85,3.45,1.88,1.7,1.99,1.61,2.13,4,1
Napoli,Juventus,2.45,2.9,3.25,2.36,1.5,1.93,1.74,13,10
Sassuolo,Bologna,3.75,3.05,2.05,2.21,1.6,1.9,1.81,17,2
Ac Milan,Parma,1.25,6.0,10.0,1.33,3.05,1.64,2.08,0,14
Udinese,Roma,2.94,3.2,2.42,1.99,1.7,1.75,1.93,19,16
Lecce,Inter Milan,9.5,5.3,1.28,1.59,2.17,2.0,1.71,12,9
Lazio,Fiorentina,2.05,3.3,3.6,1.7,2.0,1.6,2.1,11,6
Pisa,Hellas Verona,2.25,3.3,3.25,1.75,1.93,1.57,2.2,15,8
Genoa,Cremonese,2.3,3.0,3.45,2.31,1.52,1.91,1.77,7,5
Parma,Lecce,2.42,3.1,2.91,1.9,1.78,1.67,2.03,14,12
Udinese,Pisa,1.68,3.6,4.85,1.82,1.85,1.77,1.9,19,15
Cremonese,Hellas Verona,2.36,2.93,3.2,2.05,1.66,1.77,1.91,5,8
Atalanta,Torino,1.55,4.1,5.75,1.79,1.97,1.79,1.96,1,18
Bologna,Como,1.96,3.35,4.0,1.88,1.79,1.68,2.02,2,4
Juventus,Sassuolo,1.39,4.55,7.1,1.66,2.06,1.87,1.8,10,17
Fiorentina,Genoa,1.84,3.3,4.05,1.84,1.83,1.73,1.95,6,7
Ac Milan,Inter Milan,4.5,3.55,1.83,1.74,1.94,1.66,2.05,0,9
Roma,Napoli,3.35,3.2,2.12,1.98,1.71,1.75,1.93,16,13
